,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
0,Jorge Muñoz,JorgeMunozAP,18488,446,8,1
1,Jaime E Salinas,jaimesalinas80,4397,39,6,7
2,Julio Gagó Pérez,JulioGagoPe,22032,1505,8,9
3,Enrique Cornejo,ENRIQUECORNEJOR,39083,1468,8,0
4,Enrique Fernández Chacón,EnriquePorLima,34,145,0,1
5,Ditel Columbus,DitelColumbus,15822,1068,3,4
6,Gustavo Guerra,GGG_pe,11459,470,7,7
7,Juan Carlos Zurek,juancarloszurek,1680,429,8,9
8,Alberto Beingolea,BeingoleaA,19266,400,4,10
9,Ricardo Belmont C.,RicardoBelmontC,5038,150,8,1
10,Enrique Ocrospoma,kikeocrospoma,2862,547,8,4
11,Renzo Reggiardo,Renzo_Reggiardo,32698,194,7,10
12,Jorge Villacorta,mikausape,132,649,0,2
13,Daniel Urresti,DanielUrresti1,352189,386,4,5
14,Humberto Lay Sun,humberto_lay,18077,140,7,0
15,Manuel Velarde,ManuelVelardeD,6341,184,2,10
16,Luis Castañeda Pardo,luchocastanedap,6558,628,7,7
17,Jose Luis Gil,JoseLuisGil1000,6063,4628,1,10
18,La Capuñay,EstherCapunay,7571,707,6,10
19,Roberto Gómez Baca,GomezBacaxLima,1022,122,2,6
