,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
0,Jorge Muñoz,JorgeMunozAP,29233,453,8,3
1,Jaime E Salinas,jaimesalinas80,4653,39,6,8
2,Julio Gagó Pérez,JulioGagoPe,22219,1538,8,11
3,Enrique Cornejo,ENRIQUECORNEJOR,39710,1469,8,1
4,Enrique Fernández Chacón,EnriquePorLima,4881,239,0,2
5,Ditel Columbus,DitelColumbus,16329,1084,3,6
6,Gustavo Guerra,GGG_pe,14923,538,7,8
7,Juan Carlos Zurek,juancarloszurek,1791,435,8,10
8,Alberto Beingolea,BeingoleaA,21627,404,5,0
9,Ricardo Belmont C.,RicardoBelmontC,5935,153,8,3
10,Enrique Ocrospoma,kikeocrospoma,4426,548,8,6
11,Renzo Reggiardo,Renzo_Reggiardo,34039,192,7,11
12,Jorge Villacorta,mikausape,215,753,0,3
13,Daniel Urresti,DanielUrresti1,355302,387,4,6
14,Humberto Lay Sun,humberto_lay,18448,148,7,1
15,Manuel Velarde,ManuelVelardeD,10229,190,2,11
16,Luis Castañeda Pardo,luchocastanedap,7122,635,7,8
17,Jose Luis Gil,JoseLuisGil1000,6444,4656,1,11
18,La Capuñay,EstherCapunay,9028,710,7,0
19,Roberto Gómez Baca,GomezBacaxLima,1092,122,2,7
