,candidato,alias,seguido_Sep,siguiendo_Sep,Antiguedad_años,meses,setiembre,seguido_Ag,siguiendo_Ag
8,Beingolea,BeingoleaA,19941,402,4,11,6.4,19266,400
9,Belmont ,RicardoBelmontC,5604,150,8,2,8,5038,150
18,Capunay,EstherCapunay,8014,711,6,11,3.7,7571,707
16,Castaneda ,luchocastanedap,6865,633,7,8,5.1,6558,628
5,Columbus,DitelColumbus,16047,1080,3,5,3.4,15822,1068
3,Cornejo,ENRIQUECORNEJOR,39373,1472,8,1,2.2,39083,1468
4,Fernandez,EnriquePorLima,74,195,0,2,0,34,145
2,Gago,JulioGagoPe,22072,1519,8,10,0,22032,1505
17,Gil,JoseLuisGil1000,6293,4636,1,11,0,6063,4628
19,Gomez Baca,GomezBacaxLima,1049,122,2,7,0,1022,122
6,Guerra Garcia,GGG_pe,13513,534,7,8,0,11459,470
14,Lay ,humberto_lay,18257,144,7,0,2.7,18077,140
0,Munoz,JorgeMunozAP,20139,451,8,2,14.2,18488,446
10,Ocrospoma,kikeocrospoma,2944,546,8,5,0,2862,547
11,Reggiardo,Renzo_Reggiardo,33396,192,7,10,16.9,32698,194
1,Salinas,jaimesalinas80,4568,39,6,7,3.7,4397,39
13,Urresti,DanielUrresti1,353536,386,4,5,17.3,352189,386
15,Velarde,ManuelVelardeD,8474,190,2,11,3.9,6341,184
12,Villacorta,mikausape,188,741,0,3,0,132,649
7,Zurek,juancarloszurek,1745,433,8,10,4.4,1680,429
