,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
0,Jorge Muñoz,JorgeMunozAP,23710,453,8,2
1,Jaime E Salinas,jaimesalinas80,4628,39,6,8
2,Julio Gagó Pérez,JulioGagoPe,22112,1521,8,10
3,Enrique Cornejo,ENRIQUECORNEJOR,39476,1468,8,1
4,Enrique Fernández Chacón,EnriquePorLima,109,211,0,2
5,Ditel Columbus,DitelColumbus,16130,1080,3,5
6,Gustavo Guerra,GGG_pe,14077,537,7,8
7,Juan Carlos Zurek,juancarloszurek,1775,435,8,10
8,Alberto Beingolea,BeingoleaA,20323,404,4,11
9,Ricardo Belmont C.,RicardoBelmontC,5758,150,8,2
10,Enrique Ocrospoma,kikeocrospoma,2969,548,8,5
11,Renzo Reggiardo,Renzo_Reggiardo,33691,192,7,11
12,Jorge Villacorta,mikausape,206,745,0,3
13,Daniel Urresti,DanielUrresti1,354065,387,4,6
14,Humberto Lay Sun,humberto_lay,18333,147,7,1
15,Manuel Velarde,ManuelVelardeD,9650,190,2,11
16,Luis Castañeda Pardo,luchocastanedap,6998,635,7,8
17,Jose Luis Gil,JoseLuisGil1000,6323,4642,1,11
18,La Capuñay,EstherCapunay,8127,711,6,11
19,Roberto Gómez Baca,GomezBacaxLima,1068,122,2,7
