,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
0,Jorge Muñoz,JorgeMunozAP,24812,453,8,2
1,Jaime E Salinas,jaimesalinas80,4641,40,6,8
2,Julio Gagó Pérez,JulioGagoPe,22179,1523,8,10
3,Enrique Cornejo,ENRIQUECORNEJOR,39586,1468,8,1
4,Enrique Fernández Chacón,EnriquePorLima,4342,235,0,2
5,Ditel Columbus,DitelColumbus,16216,1083,3,6
6,Gustavo Guerra,GGG_pe,14606,538,7,8
7,Juan Carlos Zurek,juancarloszurek,1780,436,8,10
8,Alberto Beingolea,BeingoleaA,21116,404,5,0
9,Ricardo Belmont C.,RicardoBelmontC,5869,153,8,2
10,Enrique Ocrospoma,kikeocrospoma,4140,548,8,5
11,Renzo Reggiardo,Renzo_Reggiardo,33832,194,7,11
12,Jorge Villacorta,mikausape,211,748,0,3
13,Daniel Urresti,DanielUrresti1,354548,387,4,6
14,Humberto Lay Sun,humberto_lay,18395,147,7,1
15,Manuel Velarde,ManuelVelardeD,9835,190,2,11
16,Luis Castañeda Pardo,luchocastanedap,7052,635,7,8
17,Jose Luis Gil,JoseLuisGil1000,6417,4655,1,11
18,La Capuñay,EstherCapunay,8850,710,6,11
19,Roberto Gómez Baca,GomezBacaxLima,1086,122,2,7
